nazev,mira,sleva,stara_cena,nova_cena,platnost
 Víno Motýl Müller Thurgau suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Muškát moravský suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Rizling Rýnsky suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Rulandské bílé suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Rulandské šedé suché bílé víno,0.75l,-40%,99.90,59.90,31. 08. 2020
 Víno Motýl Ryzlink vlašský suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Sauvignon suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Tramín červený suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Veltlínské zelené suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Zámecké Vinařství Bzenec Herbarium Moravicum Muškát moravský pozdní sběr polosuché bílé víno,0.75l,-25%,159.90,119.90,31. 08. 2020
 Zámecké Vinařství Bzenec Herbarium Moravicum Rulandské šedé pozdní sběr suché bílé víno,0.75l,-25%,159.90,119.90,31. 08. 2020
 Zámecké Vinařství Bzenec Herbarium Moravicum Ryzlink vlašský pozdní sběr suché bílé víno,0.75l,-25%,159.90,119.90,31. 08. 2020
 Zámecké Vinařství Bzenec Herbarium Moravicum Tramín červený pozdní sběr polosuché bílé víno,0.75l,-25%,159.90,119.90,31. 08. 2020
 Znovín Znojmo Chardonnay odrůdové bílé víno jakostní ročníkové polosuché,0.75l,-17%,144.90,119.90,31. 08. 2020
 Znovín Znojmo Irsai Oliver odrůdové bílé víno jakostní ročníkové polosladké,0.75l,-17%,144.90,119.90,31. 08. 2020
 Znovín Znojmo Muškát moravský odrůdové bílé víno jakostní ročníkové polosuché,0.75l,-17%,144.90,119.90,31. 08. 2020
 Znovín Znojmo Pálava bílé víno s přívlastkem výběr z hroznů polosladké,0.187l,-23%,64.90,49.90,31. 08. 2020
 Znovín Znojmo Rulandské šedé odrůdové bílé víno jakostní ročníkové suché,0.75l,-17%,144.90,119.90,31. 08. 2020
 Znovín Znojmo Ryzlink rýnský odrůdové bílé víno jakostní ročníkové polosuché,0.75l,-17%,144.90,119.90,31. 08. 2020
 Znovín Znojmo Sauvignon odrůdové bílé víno jakostní ročníkové suché,0.75l,-17%,144.90,119.90,31. 08. 2020
 Znovín Znojmo Tramín červený odrůdové bílé víno jakostní ročníkové polosladké,0.75l,-17%,144.90,119.90,31. 08. 2020
 Znovín Znojmo Veltlínské červené rané odrůdové bílé víno jakostní ročníkové suché,0.75l,-17%,144.90,119.90,31. 08. 2020
 Znovín Znojmo Veltlínské zelené moravské zemské víno bílé ročníkové polosuché,0.75l,-17%,144.90,119.90,31. 08. 2020
 Petite Ville Chardonnay víno bílé suché,750ml,-33%,89.90,59.90,31. 08. 2020
 Petite Ville Sauvignon víno bílé suché,750ml,-33%,89.90,59.90,31. 08. 2020
 Casa Roscoli Bianco víno bílé suché,750ml,-10%,49.90,44.90,31. 08. 2020
 Casa Roscoli Pinot Grigio IGT Lazio víno bílé suché,3l,-37%,399.90,249.90,31. 08. 2020
 Lion's Gate Chenin Blanc,750ml,-18%,109.90,89.90,18. 08. 2020
 Lion's Gate Moscato víno,750ml,-18%,109.90,89.90,18. 08. 2020
 Lion's Gate Vineyard Selection Sauvignon Blanc víno bílé,750ml,-18%,109.90,89.90,18. 08. 2020
 Stellenbosch Chardonnay Viognier bílé víno,750ml,-15%,129.90,109.90,31. 08. 2020
 Anakena Sauvignon Blanc bílé víno suché,750ml,-30%,129.90,89.90,31. 08. 2020
 Viña Tarapacá Chardonnay bílé víno,0.75l,-45%,199.90,109.90,31. 08. 2020
 Viña Tarapacá Sauvignon Blanc bílé víno,0.75l,-45%,199.90,109.90,31. 08. 2020
 Butterfly Sauvignon Blanc bílé polosladké víno,750ml,-20%,99.90,79.90,31. 08. 2020
 Chardonnay odrůdové bílé polosladké víno,0.75l,-20%,99.90,79.90,31. 08. 2020
 Fantasy Chardonnay bílé polosladké víno,1l,-39%,139.90,84.90,31. 08. 2020
 Muscat Demidulce odrůdové bílé polosladké víno,0.75l,-20%,99.90,79.90,31. 08. 2020
